,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,bidPlus,campaignBudget,campaignId,campaignName,campaignStatus,clicks,cost,impressions
73,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,265911081529562,3350 Portable Charger New Manual,enabled,6,5.76,1605
74,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,30,168337767019556,Type c 2 pack 3ft Auto,paused,0,0.0,0
75,4,4,3,3,4,4,3,3,43.96,43.96,32.97,32.97,43.96,43.96,32.97,32.97,4,3,4,3,False,300,239466965673944,type c 2 pack 6ft Manual,enabled,24,31.7,14001
76,23,20,17,15,23,20,21,18,717.74,627.77,555.8,497.82,717.74,627.77,665.76,575.79,26,20,26,24,True,611,202081842550767,10000 PD Auto,enabled,201,389.42,176748
77,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,5645563794769,iphone x leather case auto,enabled,5,1.3599999999999999,1770
78,8,3,7,3,8,3,8,3,231.92,89.97,199.93,89.97,231.92,89.97,231.92,89.97,8,7,8,8,False,80,73802224836991,PD travel adapter auto,enabled,16,20.41,7134
79,1,0,0,0,1,0,1,0,27.99,0.0,0.0,0.0,27.99,0.0,27.99,0.0,1,0,1,1,False,30,171308506994901,Type C LED Auto,enabled,7,7.54,7511
80,33,22,26,16,33,22,31,21,613.67,395.78,487.74,287.84,613.67,395.78,577.69,377.79,33,26,33,31,False,1500,89110420379352,lightning  1 pack exact,enabled,185,438.31,81064
81,35,17,30,14,35,17,35,17,1023.64,459.83,849.7,381.86,1023.64,459.83,1023.64,459.83,36,30,36,36,True,1000,192520205291280,10000 PD Manual,enabled,323,734.43,74632
82,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,500,244826623773303,Lightning 2 Pack Exact,paused,0,0.0,0
83,51,34,46,29,51,34,49,32,1350.49,951.66,1238.53,839.7,1350.49,951.66,1294.51,895.68,52,47,52,50,False,800,156400894528966,lightning 2 pack exact,enabled,230,713.88,126224
84,11,6,9,5,11,6,10,5,203.89,117.94,168.91,99.95,203.89,117.94,185.9,99.95,11,9,11,10,True,1000,104274635796354,lightning cable fixed,paused,59,164.07,165061
85,7,5,6,4,7,5,7,5,193.93,129.95,167.94,103.96,193.93,129.95,193.93,129.95,7,6,7,7,True,500,76978955109022,10000 PD Exact,enabled,54,113.1,34716
86,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,60,152725126983161,PD travel adapter manual,enabled,1,2.41,1089
87,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,48282036743189,Type C  qinghuo - Auto,paused,1,0.72,3353
88,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,139951218417827,5000 mah portable charger pd auto,enabled,3,2.58,13556
89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,150,159872187362539,S1 Bluetooth Headphone - Manual,enabled,1,0.66,442
90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,59665422865214,S1 Bluetooth headphone - Auto,enabled,0,0.0,5
91,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,111233738707739,5000 PD manual,enabled,24,44.16,21481
92,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,37920980660514,Lightning Aluminum 10ft Manual,enabled,0,0.0,0
93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,155460604423172,Lightning Aluminum 10ft Auto,enabled,0,0.0,0
94,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,89098917486671,Lightning Aluminum 6ft 1/2 pack auto,enabled,0,0.0,0
