,adGroupId,adGroupName,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions
52,19104097444069,new lightning 6ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0
53,231131277326905,(B07BBLY7VR)micro-red-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48275355591164,micro b 6ft auto,0,0.0,0
54,200113812218926,(B07BBNF19N&B07BBMDGG6)lightning+cable+6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0
55,267093977268471,micro+black+3ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41095695787234,micro b 6ft manual,0,0.0,0
56,118625796689666,(B07BBLY7VR)micro+red+6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41095695787234,micro b 6ft manual,0,0.0,0
57,128519424441261,(B07BBJDY5Y)micro+black+6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41095695787234,micro b 6ft manual,0,0.0,0
58,75214671148813,micro+red+3ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41095695787234,micro b 6ft manual,0,0.0,0
59,47150635311764,(B07BBJDY5Y)Micro USB 6FT BLACK,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66151653693576,micro usb black 6ft manual,0,0.0,0
60,140575081393510,(B07BBN56LY)type c 6ft black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42569182075455,type c 塑料头 6ft,0,0.0,0
61,243330720562760,(B07BBMCVFL)type c red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9337278538408,type c 金属头-6ft,0,0.0,0
62,219335947780364,(B07B4L7GPV)type c blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9337278538408,type c 金属头-6ft,0,0.0,0
63,207528021608604,(B07DQK7B68)Teal,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,266220536803884,iphone x case auto,0,0.0,0
64,227106229873389,(B07CZWF59J)screen protector,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174450195659085,iphone x/xs/xr/xs max protector auto,6,5.31,959
65,156306958116913,(B07DQJP9CB)Black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,266220536803884,iphone x case auto,0,0.0,0
66,247092658627778,Protector exact,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176612412977,iphone x/xs/xr/xs max protector manual,1,1.15,471
67,38335778549610,Lightning Cable Blue New,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,230151726409685,lightning blue new auto,0,0.0,0
68,268086649339281,Lightning Cable Blue Broad,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1523267124044,lightning blue new manual,0,0.0,0
69,10506828721828,type c 3ft red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42569182075455,type c 塑料头 6ft,0,0.0,0
70,276678696697784,type c 6ft red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42569182075455,type c 塑料头 6ft,0,0.0,0
71,102668463076951,type c 3ft black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42569182075455,type c 塑料头 6ft,0,0.0,0
72,12146041423009,(B07BBKTYCF&B07BBMGWG2)lightning 3ft manual,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0
73,80844273176984,(B07BBNF19N&B07D7M8QXH&B07BBMDGG6)6ft-blue & red broad,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,11157487649763,Lightning Cable Manual New,0,0.0,0
74,151415505691424,(B07BBKTYCF)lightning 3ft red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0
75,198263767670500,(B07BBMGWG2)lightning 3ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0
76,159971046406176,(B07DQGY5WG)6ft green,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106873608603962,Lightning 2 Pack Auto,0,0.0,0
77,30808709883804,(B07DQFQ29G)3ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106873608603962,Lightning 2 Pack Auto,0,0.0,0
78,204126514138682,(B07DQGV7WN)6ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106873608603962,Lightning 2 Pack Auto,0,0.0,0
79,104442184895046,(B07DQFDH67)3ft green,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106873608603962,Lightning 2 Pack Auto,0,0.0,0
80,93234847267358,(B079HLNHZ6)micro 3ft black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48275355591164,micro b 6ft auto,0,0.0,0
81,11645690852803,(B079K3JVX4)micro 3ft red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48275355591164,micro b 6ft auto,0,0.0,0
82,30181459496661,(B07DQGV7WN)6ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123456362543419,lightning 2 pack manual,0,0.0,0
83,186139506779784,(B07BBLY7VR) micro 6ft red exact,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66151653693576,micro usb black 6ft manual,0,0.0,0
84,189744576059254,(B07B4L7GPV)type c blue 6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,270329201364135,Type c exact manual,0,0.0,0
85,132891040703980,(B07BBN56LY)type c 6ft black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,270329201364135,Type c exact manual,0,0.0,0
86,272624196508601,(B07CZWSDLP)black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96053032655072,3350 Portable charger auto,0,0.0,0
87,4987925515986,(B079K3JVX4)Red 3ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250922121520684,usb cable,0,0.0,0
88,124059858846369,（B07DQJP9CB）black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80941779237222,iPhone x leather case manual,0,0.0,0
89,257807590240914,(B07DQK7B68)teal,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80941779237222,iPhone x leather case manual,0,0.0,0
90,115795307866139,x leather case exact,1,1,1,1,1,1,1,1,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,1,1,1,1,80941779237222,iPhone x leather case manual,4,4.22,190
