,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions,targetId,targetingExpression,targetingText,targetingType
61,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,0,0.0,0,81989326632871,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
62,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,0,0.0,0,122349708508498,complements,complements,TARGETING_EXPRESSION_PREDEFINED
63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,0,0.0,0,220908142603835,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
64,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,8,15.79,7388,15997324346055,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,1,1.71,52,247000333644182,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
66,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,13212837748178,complements,complements,TARGETING_EXPRESSION_PREDEFINED
67,5,1,5,1,5,1,5,1,127.95,25.99,127.95,25.99,127.95,25.99,127.95,25.99,5,5,5,5,163882395108605,lightning auto,49,85.81,64911,240011521646904,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,143837720663994,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,241972100428816,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
70,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,163892117826817,complements,complements,TARGETING_EXPRESSION_PREDEFINED
71,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,95683104697199,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
72,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,207128921638454,Surge Protector Auto,0,0.0,88,77225548961776,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
73,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,207128921638454,Surge Protector Auto,0,0.0,1,249540389837032,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
74,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,207128921638454,Surge Protector Auto,0,0.0,0,233525892229642,complements,complements,TARGETING_EXPRESSION_PREDEFINED
75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,207128921638454,Surge Protector Auto,0,0.0,19,83497845717027,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
76,2,1,1,1,2,1,2,1,43.98,25.99,25.99,25.99,43.98,25.99,43.98,25.99,2,1,2,2,194966030509958,48W 5 Port USB Charger Auto,15,24.09,7841,110717452975661,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
77,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194966030509958,48W 5 Port USB Charger Auto,0,0.0,434,253896910277878,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
78,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194966030509958,48W 5 Port USB Charger Auto,0,0.0,0,138346098976299,complements,complements,TARGETING_EXPRESSION_PREDEFINED
79,4,4,2,2,4,4,3,3,106.96,106.96,51.98,51.98,106.96,106.96,80.97,80.97,4,2,4,3,194966030509958,48W 5 Port USB Charger Auto,56,87.5,32293,130176365104058,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,68155422162905,"asin=""B01H14SFRM""","asin=""B01H14SFRM""",TARGETING_EXPRESSION
81,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,108349323616190,"asin=""B07HQ7YLKB""","asin=""B07HQ7YLKB""",TARGETING_EXPRESSION
82,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,217647154265207,"asin=""B01LYHEC16""","asin=""B01LYHEC16""",TARGETING_EXPRESSION
83,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,213374089810176,"asin=""B078GD47L1""","asin=""B078GD47L1""",TARGETING_EXPRESSION
84,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,145167704411222,"asin=""B07HQ9YKGW""","asin=""B07HQ9YKGW""",TARGETING_EXPRESSION
85,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,53464209781068,"asin=""B01LYHJMTD""","asin=""B01LYHJMTD""",TARGETING_EXPRESSION
86,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114165613447581,Surge Protector Manual,0,0.0,0,139386652889951,"category=""761520""","category=""Surge Protectors""",TARGETING_EXPRESSION
87,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,476,127106109048556,"asin=""B07FS79R62""","asin=""B07FS79R62""",TARGETING_EXPRESSION
88,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,352,135780265155348,"asin=""B079K2PDJV""","asin=""B079K2PDJV""",TARGETING_EXPRESSION
89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,110649842014312,"asin=""B07C7Q1KH9""","asin=""B07C7Q1KH9""",TARGETING_EXPRESSION
90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,199343000440457,"asin=""B07GGH7MWF""","asin=""B07GGH7MWF""",TARGETING_EXPRESSION
91,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,20170865222063,"asin=""B07GQWZLY5""","asin=""B07GQWZLY5""",TARGETING_EXPRESSION
92,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,4159081510684,"asin=""B07GKK1Q5S""","asin=""B07GKK1Q5S""",TARGETING_EXPRESSION
93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,209921499351571,"asin=""B00A83I8G2""","asin=""B00A83I8G2""",TARGETING_EXPRESSION
94,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,377,259815006872928,"asin=""B01F9RH5M4""","asin=""B01F9RH5M4""",TARGETING_EXPRESSION
95,1,1,1,1,1,1,1,1,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,1,1,1,1,109119336754127,lightning manual,1,1.75,580,90886311839835,"asin=""B01F9RGWF0""","asin=""B01F9RGWF0""",TARGETING_EXPRESSION
96,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,1069,197287154382430,"asin=""B01F9RGSFE""","asin=""B01F9RGSFE""",TARGETING_EXPRESSION
97,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,417,38874493595471,"asin=""B075ZZW18S""","asin=""B075ZZW18S""",TARGETING_EXPRESSION
98,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,127701397704337,"asin=""B075ZYR6VK""","asin=""B075ZYR6VK""",TARGETING_EXPRESSION
99,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,256,270528801763765,"asin=""B075ZYJ74T""","asin=""B075ZYJ74T""",TARGETING_EXPRESSION
100,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,704,143175433887107,"asin=""B071XTQ1PW""","asin=""B071XTQ1PW""",TARGETING_EXPRESSION
101,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,214224311779385,"asin=""B07L88BJKL""","asin=""B07L88BJKL""",TARGETING_EXPRESSION
102,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,223311561280999,"asin=""B07GS47W8W""","asin=""B07GS47W8W""",TARGETING_EXPRESSION
103,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,63525245816124,"asin=""B07L87JPT7""","asin=""B07L87JPT7""",TARGETING_EXPRESSION
104,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,210741052542649,"asin=""B07FVGSTGD""","asin=""B07FVGSTGD""",TARGETING_EXPRESSION
105,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,143242281928685,"asin=""B07K32M576""","asin=""B07K32M576""",TARGETING_EXPRESSION
106,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,0,0.0,0,232921131938772,"asin=""B07K323ZVR""","asin=""B07K323ZVR""",TARGETING_EXPRESSION
